|Title|Artist
519|Magic|Olivia Newton-John
520|Sailing|Christopher Cross
521|Upside Down|Diana Ross
522|Another One Bites the Dust|Queen
523|Woman in Love|Barbra Streisand
524|Lady|Kenny Rogers
525|(Just Like) Starting Over|John Lennon
526|(Just Like) Starting Over|John Lennon
527|The Tide Is High|Blondie
528|Celebration|Kool & the Gang
529|9 to 5|Dolly Parton
530|I Love a Rainy Night|Eddie Rabbitt
531|9 to 5|Dolly Parton
532|Keep On Loving You|REO Speedwagon
533|Rapture|Blondie
534|Kiss on My List|Daryl Hall and John Oates
535|Morning Train (Nine to Five)|Sheena Easton
536|Bette Davis Eyes|Kim Carnes
537|Stars on 45|Stars on 45
538|Bette Davis Eyes|Kim Carnes
539|The One That You Love|Air Supply
540|Jessie's Girl|Rick Springfield
541|Endless Love|Diana Ross and Lionel Richie
542|Arthur's Theme (Best That You Can Do)|Christopher Cross
543|Private Eyes|Daryl Hall and John Oates
544|Physical|Olivia Newton-John
545|Physical|Olivia Newton-John
546|I Can't Go for That (No Can Do)|Daryl Hall and John Oates
547|Centerfold|The J. Geils Band
548|I Love Rock 'n' Roll|Joan Jett and the Blackhearts
549|Chariots of Fire|Vangelis
550|Ebony and Ivory|Paul McCartney and Stevie Wonder
551|Don't You Want Me|The Human League
552|Eye of the Tiger|Survivor
553|Abracadabra|Steve Miller Band
554|Hard to Say I'm Sorry|Chicago
555|Abracadabra|Steve Miller Band
556|Jack & Diane|John Cougar
557|Who Can It Be Now?|Men at Work
558|Up Where We Belong|Joe Cocker and Jennifer Warnes
559|Truly|Lionel Richie
560|Mickey|Toni Basil
561|Maneater|Daryl Hall and John Oates
562|Maneater|Daryl Hall and John Oates
563|Down Under|Men at Work
564|Africa|Toto
565|Down Under|Men at Work
566|Baby, Come to Me|Patti Austin and James Ingram
567|Billie Jean|Michael Jackson
568|Come On Eileen|Dexys Midnight Runners
569|Beat It|Michael Jackson
570|Let's Dance|David Bowie
571|Flashdance... What a Feeling|Irene Cara
572|Every Breath You Take|The Police
573|Sweet Dreams (Are Made of This)|Eurythmics
574|Maniac|Michael Sembello
575|Tell Her About It|Billy Joel
576|Total Eclipse of the Heart|Bonnie Tyler
577|Islands in the Stream|Kenny Rogers and Dolly Parton
578|All Night Long (All Night)|Lionel Richie
579|Say Say Say|Paul McCartney and Michael Jackson
580|Say Say Say|Paul McCartney and Michael Jackson
581|Owner of a Lonely Heart|Yes
